True True True True
array shapes
(96, 1, 6106)
(96, 1, 90964)
(96, 1, 34395)
(96, 1, 90806)
0 336679200.0
1 336682799.99999976
2 336686400.00000024
3 336690000.0
4 336693599.99999976
5 336697200.00000024
6 336765600.0
7 336769199.99999976
8 336772800.00000024
9 336776400.0
10 336779999.99999976
11 336783600.00000024
12 336852000.0
13 336855599.99999976
14 336859200.00000024
15 336862800.0
16 336866399.99999976
17 336870000.00000024
18 336938400.0
19 336941999.99999976
20 336945600.00000024
21 336949200.0
22 336952799.99999976
23 336956400.00000024
24 336700800.0
25 336704399.99999976
26 336708000.00000024
27 336711600.0
28 336715199.99999976
29 336718800.00000024
30 336787200.0
31 336790799.99999976
32 336794400.00000024
33 336798000.0
34 336801599.99999976
35 336805200.00000024
36 336873600.0
37 336877199.99999976
38 336880800.00000024
39 336884400.0
40 336887999.99999976
41 336891600.00000024
42 336960000.0
43 336963599.99999976
44 336967200.00000024
45 336970800.0
46 336974399.99999976
47 336978000.00000024
48 336722400.0
49 336725999.99999976
50 336729600.00000024
51 336733200.0
52 336736799.99999976
53 336740400.00000024
54 336808800.0
55 336812399.99999976
56 336816000.00000024
57 336819600.0
58 336823199.99999976
59 336826800.00000024
60 336895200.0
61 336898799.99999976
62 336902400.00000024
63 336906000.0
64 336909599.99999976
65 336913200.00000024
66 336981600.0
67 336985199.99999976
68 336988800.00000024
69 336992400.0
70 336995999.99999976
71 336999600.00000024
72 336744000.0
73 336747599.99999976
74 336751200.00000024
75 336754800.0
76 336758399.99999976
77 336762000.00000024
78 336830400.0
79 336833999.99999976
80 336837600.00000024
81 336841200.0
82 336844799.99999976
83 336848400.00000024
84 336916800.0
85 336920399.99999976
86 336924000.00000024
87 336927600.0
88 336931199.99999976
89 336934800.00000024
90 337003200.0
91 337006799.99999976
92 337010400.00000024
93 337014000.0
94 337017599.99999976
95 337021200.00000024
interp_skintemp_5lakes_ice_fv3grid_ver7_GLcropped.py completed successfully
